Date,Index,Open,High,Low,Close,Volume,Currency
16-04-2018,NIFTY 50,10398.3,10540.15,10396.35,10528.35,200951008,INR
17-04-2018,NIFTY 50,10557.3,10560.45,10495.65,10548.7,212450000,INR
18-04-2018,NIFTY 50,10578.9,10594.2,10509.7,10526.2,211823008,INR
19-04-2018,NIFTY 50,10563.65,10572.2,10546.2,10565.3,270740992,INR
20-04-2018,NIFTY 50,10560.35,10582.35,10527.45,10564.05,252227008,INR
23-04-2018,NIFTY 50,10592.8,10638.35,10514.95,10584.7,200203008,INR
24-04-2018,NIFTY 50,10578.1,10636.8,10569,10614.35,225972992,INR
25-04-2018,NIFTY 50,10612.4,10612.6,10536.45,10570.55,195130000,INR
26-04-2018,NIFTY 50,10586.5,10628.4,10559.65,10617.8,345536000,INR
27-04-2018,NIFTY 50,10651.65,10719.8,10647.55,10692.3,306671008,INR
30-04-2018,NIFTY 50,10705.75,10759,10704.6,10739.35,179163008,INR
02-05-2018,NIFTY 50,10783.85,10784.65,10689.8,10718.05,236756992,INR
03-05-2018,NIFTY 50,10720.15,10720.6,10647.45,10679.65,190870000,INR
04-05-2018,NIFTY 50,10700.45,10700.45,10601.6,10618.25,192296000,INR
07-05-2018,NIFTY 50,10653.15,10725.65,10635.65,10715.5,173620000,INR
08-05-2018,NIFTY 50,10757.9,10758.55,10689.4,10717.8,278119008,INR
09-05-2018,NIFTY 50,10693.35,10766.25,10689.85,10741.7,222116000,INR
10-05-2018,NIFTY 50,10779.65,10785.55,10705,10716.55,197988000,INR
11-05-2018,NIFTY 50,10741.95,10812.05,10724.45,10806.5,209392000,INR
14-05-2018,NIFTY 50,10815.15,10834.85,10774.75,10806.6,176698000,INR
15-05-2018,NIFTY 50,10812.6,10929.2,10781.4,10801.85,262202000,INR
16-05-2018,NIFTY 50,10751.95,10790.45,10699.7,10741.1,238222000,INR
17-05-2018,NIFTY 50,10775.6,10777.25,10664.5,10682.7,220739008,INR
18-05-2018,NIFTY 50,10671.85,10674.95,10589.1,10596.4,229908992,INR
21-05-2018,NIFTY 50,10616.7,10621.7,10505.8,10516.7,197294000,INR
22-05-2018,NIFTY 50,10518.45,10558.6,10490.55,10536.7,249236992,INR
23-05-2018,NIFTY 50,10521.1,10533.55,10417.8,10430.35,299919008,INR
24-05-2018,NIFTY 50,10464.85,10535.15,10419.8,10513.85,306792000,INR
25-05-2018,NIFTY 50,10533.05,10628.05,10524,10605.15,268915008,INR
28-05-2018,NIFTY 50,10648.35,10709.8,10640.55,10688.65,239786000,INR
29-05-2018,NIFTY 50,10689.4,10717.25,10616.1,10633.3,232762000,INR
30-05-2018,NIFTY 50,10579,10648.7,10558.45,10614.35,246124000,INR
31-05-2018,NIFTY 50,10670.1,10763.8,10620.4,10736.15,629198976,INR
01-06-2018,NIFTY 50,10738.45,10764.75,10681.5,10696.2,227356000,INR
04-06-2018,NIFTY 50,10765.95,10770.3,10618.35,10628.5,210148000,INR
05-06-2018,NIFTY 50,10630.7,10633.15,10550.9,10593.15,172898000,INR
06-06-2018,NIFTY 50,10603.45,10698.35,10587.5,10684.65,195760992,INR
07-06-2018,NIFTY 50,10722.6,10818,10722.6,10768.35,227663008,INR
08-06-2018,NIFTY 50,10736.4,10779.45,10709.05,10767.65,215943008,INR
11-06-2018,NIFTY 50,10781.85,10850.55,10777.05,10786.95,217850000,INR
12-06-2018,NIFTY 50,10816.15,10856.55,10789.4,10842.85,204419008,INR
13-06-2018,NIFTY 50,10887.5,10893.25,10842.65,10856.7,220003008,INR
14-06-2018,NIFTY 50,10832.9,10833.7,10773.55,10808.05,190032000,INR
15-06-2018,NIFTY 50,10808.65,10834,10755.4,10817.7,314764000,INR
18-06-2018,NIFTY 50,10830.2,10830.2,10787.35,10799.85,202727008,INR
19-06-2018,NIFTY 50,10789.45,10789.45,10701.2,10710.45,231383008,INR
20-06-2018,NIFTY 50,10734.65,10781.8,10724.05,10772.05,199467008,INR
21-06-2018,NIFTY 50,10808.45,10809.6,10725.9,10741.1,230507008,INR
22-06-2018,NIFTY 50,10742.7,10837,10710.45,10821.85,236898000,INR
25-06-2018,NIFTY 50,10822.9,10831.05,10753.05,10762.45,236692992,INR
26-06-2018,NIFTY 50,10742.7,10805.25,10732.55,10769.15,226846000,INR
27-06-2018,NIFTY 50,10785.5,10785.5,10652.4,10671.4,253620992,INR
28-06-2018,NIFTY 50,10660.8,10674.2,10557.7,10589.1,363156992,INR
29-06-2018,NIFTY 50,10612.85,10723.05,10612.35,10714.3,250328000,INR
02-07-2018,NIFTY 50,10732.35,10736.15,10604.65,10657.3,304536992,INR
03-07-2018,NIFTY 50,10668.6,10713.3,10630.25,10699.9,208372000,INR
04-07-2018,NIFTY 50,10715,10777.15,10677.75,10769.9,179268000,INR
05-07-2018,NIFTY 50,10786.05,10786.05,10726.25,10749.75,227267008,INR
06-07-2018,NIFTY 50,10744.15,10816.35,10735.05,10772.65,256548000,INR
09-07-2018,NIFTY 50,10838.3,10860.35,10807.15,10852.9,189331008,INR
